@relation '<netmate-2017-06-07-17:00:43-1>-weka.filters.unsupervised.attribute.Remove-R1-5-weka.filters.supervised.instance.Resample-B0.0-S1-Z60.0-no-replacement-V-weka.filters.supervised.instance.Resample-B0.0-S1-Z50.0-no-replacement-V-weka.filters.unsupervised.attribute.Remove-R4-5,8-10,13-19,22,27,29-33,36-37-weka.filters.unsupervised.attribute.Remove-R13-14'

@attribute total_fpackets numeric
@attribute total_fvolume numeric
@attribute total_bpackets numeric
@attribute mean_fpktl numeric
@attribute max_fpktl numeric
@attribute max_bpktl numeric
@attribute std_bpktl numeric
@attribute std_biat numeric
@attribute duration numeric
@attribute mean_active numeric
@attribute max_active numeric
@attribute std_active numeric
@attribute fpsh_cnt numeric
@attribute bpsh_cnt numeric
@attribute total_fhlen numeric
@attribute total_bhlen numeric
@attribute class {vpn,normal}

@data
3957,1170240,3638,295,4420,32160,4891,105513,590028187,1815246,18341331,2741479,2502,3082,158300,145524,vpn
325,83254,281,256,1500,5880,1064,205509,590024580,779836,3233939,876684,230,188,13020,11244,vpn
2813,879740,2626,312,3138,21940,3493,104402,590029598,1338876,9642805,1711881,1831,2211,112540,105044,vpn
1515,454736,1273,300,2960,16100,1397,155477,590028295,1391000,16374717,2594953,1026,941,60620,50924,vpn
41,7694,34,187,1500,1500,313,240888,590027225,375205,1102642,359766,25,17,1660,1364,vpn
1029,299492,879,291,2960,11720,1265,158104,590025186,1121084,9688277,1762364,742,611,41180,35164,vpn
918,241100,747,262,1500,5880,900,177750,590024339,1098141,5394981,1389454,624,523,36740,29884,vpn
420,121760,376,289,1500,5880,974,138029,590024801,915411,7708414,1521795,308,277,16820,15044,vpn
40,7590,34,189,1500,1500,313,250607,590031760,338102,1102117,364598,25,16,1620,1364,vpn
684,180712,570,264,2960,8800,1558,221936,590025168,1280173,5006765,1434708,439,407,27380,22804,vpn
893,237950,724,266,2062,8800,973,168872,590027339,1336033,7673169,1542621,604,525,35740,28964,vpn
1051,314312,882,299,2960,13180,1050,166599,590026695,970942,5668561,1309242,741,625,42060,35284,vpn
1547,447676,1272,289,2960,14640,1451,155048,590027835,1491854,13653172,2459083,1058,944,61900,50884,vpn
1455,399962,1282,274,1500,30700,2127,154629,590025344,1602748,9545970,1941745,1028,952,58220,51284,vpn
603,183394,522,304,2960,8800,1103,160090,590030253,876945,3817255,917669,403,366,24140,20884,vpn
1113,374194,911,336,2958,17560,1318,159845,590026013,1698269,14965485,2755841,763,664,44540,36444,vpn
173,32720,127,189,1500,5880,590,199888,389453740,201240,2843766,450659,102,77,6940,5084,vpn
105,20815,90,198,1500,2960,391,175353,128366258,522587,2404536,599593,65,50,4220,3604,vpn
